total_fundadores y horas_dedicacion,,,,,,
REWARDS HD y TF,,,,,,
,TF=1,TF=2,TF=3,TF=4,TF=5,TF=6
0-5,3,5,6,5,3,2
6-10,4,6,7,6,4,3
10-30,5,7,8,7,5,4
30-45,6,8,9,8,6,5
,,,,,,
ACCIONES/PREMES DISPONIBLES,,,,,,
,TF=1,TF=2,TF=3,TF=4,TF=5,TF=6
0-5,horas_dedicacion_inc,horas_dedicacion_inc,horas_dedicacion_inc,horas_dedicacion_inc,horas_dedicacion_inc,horas_dedicacion_inc
6-10,"horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec"
10-30,"horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec","horas_dedicacion_inc, horas_dedicacion_dec"
30-45,horas_dedicacion_dec,horas_dedicacion_dec,horas_dedicacion_dec,horas_dedicacion_dec,horas_dedicacion_dec,horas_dedicacion_dec
